seed,fold,model,arm,condition,client,n,accuracy,f1,auroc
3,3,VQC,arm4,0.5,2,42,0.6905,0.7347,0.717
3,3,VQC,arm4,0.5,3,71,0.7606,0.7792,0.8083
3,4,VQC,arm4,0.5,global,184,0.6739,0.7196,0.7363
3,4,VQC,arm4,0.5,0,37,0.7297,0.8438,nan
3,4,VQC,arm4,0.5,1,32,0.5938,0.48,0.7886
3,4,VQC,arm4,0.5,2,53,0.6604,0.6667,0.7443
3,4,VQC,arm4,0.5,3,62,0.6935,0.7324,0.7503
4,0,VQC,arm4,0.5,global,184,0.7717,0.8037,0.8208
4,0,VQC,arm4,0.5,0,14,0.8571,0.0,nan
4,0,VQC,arm4,0.5,1,105,0.7619,0.8322,0.7857
4,0,VQC,arm4,0.5,2,54,0.7407,0.7308,0.8275
4,0,VQC,arm4,0.5,3,11,0.9091,0.9091,1.0
4,1,VQC,arm4,0.5,global,184,0.7663,0.7882,0.8364
4,1,VQC,arm4,0.5,0,17,0.8824,0.6667,0.9667
4,1,VQC,arm4,0.5,1,111,0.7297,0.7917,0.7733
4,1,VQC,arm4,0.5,2,47,0.8085,0.8,0.9121
4,1,VQC,arm4,0.5,3,9,0.7778,0.75,0.9
4,2,VQC,arm4,0.5,global,184,0.788,0.8116,0.8511
4,2,VQC,arm4,0.5,0,11,0.5455,0.2857,0.8
4,2,VQC,arm4,0.5,1,114,0.8158,0.8627,0.83
4,2,VQC,arm4,0.5,2,51,0.7843,0.7442,0.8651
4,2,VQC,arm4,0.5,3,8,0.75,0.5,0.75
4,3,VQC,arm4,0.5,global,184,0.7609,0.7944,0.8327
4,3,VQC,arm4,0.5,0,19,0.6842,0.5,0.9167
4,3,VQC,arm4,0.5,1,121,0.7603,0.8153,0.8251
4,3,VQC,arm4,0.5,2,36,0.8056,0.8205,0.8719
4,3,VQC,arm4,0.5,3,8,0.75,0.6667,0.8
4,4,VQC,arm4,0.5,global,184,0.7717,0.8,0.8022
4,4,VQC,arm4,0.5,0,11,0.7273,0.0,nan
4,4,VQC,arm4,0.5,1,111,0.7838,0.8421,0.7628
4,4,VQC,arm4,0.5,2,46,0.7174,0.6286,0.8125
4,4,VQC,arm4,0.5,3,16,0.875,0.9,0.8333
5,0,VQC,arm4,0.5,global,184,0.6848,0.7184,0.7844
5,0,VQC,arm4,0.5,0,8,0.5,0.0,nan
5,0,VQC,arm4,0.5,1,75,0.64,0.0,nan
5,0,VQC,arm4,0.5,2,64,0.7188,0.8364,nan
5,0,VQC,arm4,0.5,3,37,0.7568,0.8615,nan
5,1,VQC,arm4,0.5,global,184,0.712,0.7535,0.8033
5,1,VQC,arm4,0.5,0,8,0.75,0.5,0.8571
5,1,VQC,arm4,0.5,1,72,0.5972,0.0,nan
5,1,VQC,arm4,0.5,2,74,0.8243,0.9008,0.9583
5,1,VQC,arm4,0.5,3,30,0.7,0.8235,0.6552
5,2,VQC,arm4,0.5,global,184,0.7228,0.7488,0.8155
5,2,VQC,arm4,0.5,0,7,0.7143,0.0,0.6667
5,2,VQC,arm4,0.5,1,74,0.6757,0.0,nan
5,2,VQC,arm4,0.5,2,77,0.7403,0.8507,nan
5,2,VQC,arm4,0.5,3,26,0.8077,0.8837,0.9375
5,3,VQC,arm4,0.5,global,184,0.7065,0.7379,0.769
5,3,VQC,arm4,0.5,0,8,0.75,0.0,nan
5,3,VQC,arm4,0.5,1,74,0.6486,0.0,nan
5,3,VQC,arm4,0.5,2,81,0.7654,0.8671,nan
5,3,VQC,arm4,0.5,3,21,0.6667,0.8,nan
5,4,VQC,arm4,0.5,global,184,0.6576,0.7097,0.7376
5,4,VQC,arm4,0.5,0,11,0.6364,0.0,nan
5,4,VQC,arm4,0.5,1,69,0.5072,0.0,nan
5,4,VQC,arm4,0.5,2,73,0.7671,0.8682,nan
5,4,VQC,arm4,0.5,3,31,0.7419,0.84,0.8966
6,0,VQC,arm4,0.5,global,184,0.6685,0.7289,0.7298
6,0,VQC,arm4,0.5,0,61,0.5246,0.5538,0.6653
6,0,VQC,arm4,0.5,1,82,0.8049,0.8769,0.8
6,0,VQC,arm4,0.5,2,32,0.5625,0.125,0.5172
6,0,VQC,arm4,0.5,3,9,0.7778,0.8571,1.0
6,1,VQC,arm4,0.5,global,184,0.6739,0.7345,0.7061
6,1,VQC,arm4,0.5,0,49,0.6939,0.7273,0.6911
6,1,VQC,arm4,0.5,1,84,0.7738,0.8527,0.7836
6,1,VQC,arm4,0.5,2,46,0.4565,0.2857,0.6465
