seed,fold,model,condition,round,mean_pairwise_l2
5,4,weak-MLP,0.5,3,0.409208
5,4,weak-MLP,0.1,0,0.369347
5,4,weak-MLP,0.1,1,0.377454
5,4,weak-MLP,0.1,2,0.387085
5,4,weak-MLP,0.1,3,0.399062
5,4,weak-MLP,natural,0,0.187617
5,4,weak-MLP,natural,1,0.189416
5,4,weak-MLP,natural,2,0.19188
5,4,weak-MLP,natural,3,0.195285
6,0,weak-MLP,100,0,0.033208
6,0,weak-MLP,100,1,0.033875
6,0,weak-MLP,100,2,0.034458
6,0,weak-MLP,100,3,0.034968
6,0,weak-MLP,1.0,0,0.254226
6,0,weak-MLP,1.0,1,0.258149
6,0,weak-MLP,1.0,2,0.261395
6,0,weak-MLP,1.0,3,0.264058
6,0,weak-MLP,0.5,0,0.243023
6,0,weak-MLP,0.5,1,0.246199
6,0,weak-MLP,0.5,2,0.248739
6,0,weak-MLP,0.5,3,0.250753
6,0,weak-MLP,0.1,0,0.343661
6,0,weak-MLP,0.1,1,0.348306
6,0,weak-MLP,0.1,2,0.352101
6,0,weak-MLP,0.1,3,0.355168
6,0,weak-MLP,natural,0,0.201094
6,0,weak-MLP,natural,1,0.204332
6,0,weak-MLP,natural,2,0.20702
6,0,weak-MLP,natural,3,0.20922
6,1,weak-MLP,100,0,0.051543
6,1,weak-MLP,100,1,0.052176
6,1,weak-MLP,100,2,0.052683
6,1,weak-MLP,100,3,0.053097
6,1,weak-MLP,1.0,0,0.26118
6,1,weak-MLP,1.0,1,0.264867
6,1,weak-MLP,1.0,2,0.2679
6,1,weak-MLP,1.0,3,0.270377
6,1,weak-MLP,0.5,0,0.249351
6,1,weak-MLP,0.5,1,0.252456
6,1,weak-MLP,0.5,2,0.254974
6,1,weak-MLP,0.5,3,0.257002
6,1,weak-MLP,0.1,0,0.339736
6,1,weak-MLP,0.1,1,0.344045
6,1,weak-MLP,0.1,2,0.347543
6,1,weak-MLP,0.1,3,0.350361
6,1,weak-MLP,natural,0,0.206778
6,1,weak-MLP,natural,1,0.209735
6,1,weak-MLP,natural,2,0.21217
6,1,weak-MLP,natural,3,0.214146
6,2,weak-MLP,100,0,0.051389
6,2,weak-MLP,100,1,0.052023
6,2,weak-MLP,100,2,0.052574
6,2,weak-MLP,100,3,0.053053
6,2,weak-MLP,1.0,0,0.266424
